subject	rt	evidence_type	evidence	item	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	time_in_minutes
0	6183	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist	kaffee	bare	3	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	15909	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt	hund	bare	4	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	8478	evidence2	Sie hören einen Hund bellen	hund	wohl	5	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	12231	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben	hund	bare	6	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	10791	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	wohl	7	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	7855	evidence5	Sie haben am Vormittag dunkle Wolken am Himmel gesehen	regen	muss	8	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	6081	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	bare	9	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	21523	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	10	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	9311	evidence5	Sie haben Hunger	abendessen	vermutlich	11	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	3153	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	12	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
0	6582	evidence3	Sie sahen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkam	regen	muss	13	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
