subject	rt	evidence_id	evidence	item	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	time_in_minutes
0	9377	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.97	3	1920	1080	Mac	Firefox	deutsch	1	Female	28		Yes	0.72415
0	5455	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.98	4	1920	1080	Mac	Firefox	deutsch	1	Female	28		Yes	0.72415
0	5792	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt.	hund	0.99	5	1920	1080	Mac	Firefox	deutsch	1	Female	28		Yes	0.72415
0	4152	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.78	6	1920	1080	Mac	Firefox	deutsch	1	Female	28		Yes	0.72415
1	18901	evidence2	Sie hören einen Hund bellen.	hund	0.64	3	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	1.34758333333
1	8107	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt.	abendessen	0.71	4	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	1.34758333333
1	7619	evidence1	Sie sehen aus dem Fenster und beobachten, wie Regentropfen vom Himmel fallen.	regen	1	5	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	1.34758333333
1	12385	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.28	6	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	1.34758333333
2	13481	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt.	kaffee	1	3	1440	900	Windows	Firefox	deutsch	2	Female	46		Yes	1.94548333333
2	10024	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt.	abendessen	0.98	4	1440	900	Windows	Firefox	deutsch	2	Female	46		Yes	1.94548333333
2	20608	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn abends oft bellt.	hund	0.67	5	1440	900	Windows	Firefox	deutsch	2	Female	46		Yes	1.94548333333
2	11289	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.99	6	1440	900	Windows	Firefox	deutsch	2	Female	46		Yes	1.94548333333
3	10543	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	1	3	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	1.1298
3	10281	evidence1	Sie sehen aus dem Fenster und beobachten, wie Regentropfen vom Himmel fallen.	regen	0.97	4	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	1.1298
3	10018	evidence5	Sie haben Hunger.	abendessen	0.44	5	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	1.1298
3	10946	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.97	6	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	1.1298
4	5075	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.77	3	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	1.84901666667
4	17367	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	0.61	4	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	1.84901666667
4	21570	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	0.62	5	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	1.84901666667
4	26723	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.58	6	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	1.84901666667
5	36266	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.05	3	1360	768	Windows	Chrome	Deutsch	2	Male	23		Yes	3.14566666667
5	35462	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist.	abendessen	0.03	4	1360	768	Windows	Chrome	Deutsch	2	Male	23		Yes	3.14566666667
5	20775	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.96	5	1360	768	Windows	Chrome	Deutsch	2	Male	23		Yes	3.14566666667
5	37889	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.48	6	1360	768	Windows	Chrome	Deutsch	2	Male	23		Yes	3.14566666667
6	11128	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.68	3	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	0.880483333333
6	9886	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.78	4	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	0.880483333333
6	5726	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	0.98	5	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	0.880483333333
6	6626	evidence1	Sie sehen aus dem Fenster und beobachten, wie Regentropfen vom Himmel fallen.	regen	0.98	6	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	0.880483333333
7	21972	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben.	hund	0.7	3	1920	1080	Windows	Chrome	Deutsch	2	Male	20		Yes	1.60013333333
7	14957	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist.	kaffee	1	4	1920	1080	Windows	Chrome	Deutsch	2	Male	20		Yes	1.60013333333
7	16507	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.52	5	1920	1080	Windows	Chrome	Deutsch	2	Male	20		Yes	1.60013333333
7	11396	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.98	6	1920	1080	Windows	Chrome	Deutsch	2	Male	20		Yes	1.60013333333
8	9583	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt.	kaffee	0.88	3	1920	1080	Windows	Firefox	-1					0.756133333333
8	6340	evidence1	Sie sehen aus dem Fenster und beobachten, wie Regentropfen vom Himmel fallen.	regen	0.99	4	1920	1080	Windows	Firefox	-1					0.756133333333
8	6603	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	0.99	5	1920	1080	Windows	Firefox	-1					0.756133333333
8	9063	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.98	6	1920	1080	Windows	Firefox	-1					0.756133333333
9	10684	evidence2	Sie hören einen Hund bellen.	hund	0.78	3	1920	1080	Windows	Firefox	deutsch, englisch	1	Male	18		Confused	1.21351666667
9	8230	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist.	abendessen	0.33	4	1920	1080	Windows	Firefox	deutsch, englisch	1	Male	18		Confused	1.21351666667
9	9986	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.27	5	1920	1080	Windows	Firefox	deutsch, englisch	1	Male	18		Confused	1.21351666667
9	5685	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	1	6	1920	1080	Windows	Firefox	deutsch, englisch	1	Male	18		Confused	1.21351666667
10	13373	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn abends oft bellt.	hund	0.89	3	1366	768	Windows	Firefox	deutsch	2	Male	32	der andere Teil war spaßiger	Yes	1.24178333333
10	7841	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	1	4	1366	768	Windows	Firefox	deutsch	2	Male	32	der andere Teil war spaßiger	Yes	1.24178333333
10	6472	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.88	5	1366	768	Windows	Firefox	deutsch	2	Male	32	der andere Teil war spaßiger	Yes	1.24178333333
10	8785	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.96	6	1366	768	Windows	Firefox	deutsch	2	Male	32	der andere Teil war spaßiger	Yes	1.24178333333
11	11405	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.96	3	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	0.956816666667
11	7070	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.48	4	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	0.956816666667
11	6352	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.47	5	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	0.956816666667
11	6692	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	1	6	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	0.956816666667
12	19318	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.79	3	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	1.23685
12	8049	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.99	4	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	1.23685
12	9438	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.91	5	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	1.23685
12	15556	evidence2	Sie hören einen Hund bellen.	hund	0.9	6	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	1.23685
13	23957	evidence2	Sie hören einen Hund bellen.	hund	0.76	3	1536	864	Windows	Firefox	deutsch	2	Male	35		Yes	1.40085
13	13857	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.6	4	1536	864	Windows	Firefox	deutsch	2	Male	35		Yes	1.40085
13	11033	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.49	5	1536	864	Windows	Firefox	deutsch	2	Male	35		Yes	1.40085
13	11216	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist.	abendessen	0.83	6	1536	864	Windows	Firefox	deutsch	2	Male	35		Yes	1.40085
14	11885	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	0.93	3	1920	1080	Windows	Firefox	deutsch	2	Male	20		Yes	1.10323333333
14	5792	evidence1	Sie sehen aus dem Fenster und beobachten, wie Regentropfen vom Himmel fallen.	regen	0.95	4	1920	1080	Windows	Firefox	deutsch	2	Male	20		Yes	1.10323333333
14	4760	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.96	5	1920	1080	Windows	Firefox	deutsch	2	Male	20		Yes	1.10323333333
14	8119	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt.	hund	0.98	6	1920	1080	Windows	Firefox	deutsch	2	Male	20		Yes	1.10323333333
15	24558	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn abends oft bellt.	hund	0.46	3	640	360	Linux	Chrome	deutsch	2	Male	54		Yes	1.83301666667
15	20561	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.85	4	640	360	Linux	Chrome	deutsch	2	Male	54		Yes	1.83301666667
15	7998	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.97	5	640	360	Linux	Chrome	deutsch	2	Male	54		Yes	1.83301666667
15	9356	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	0.95	6	640	360	Linux	Chrome	deutsch	2	Male	54		Yes	1.83301666667
16	11722	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.98	3	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	1.19675
16	5022	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.97	4	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	1.19675
16	12346	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt.	hund	0.95	5	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	1.19675
16	6176	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist.	kaffee	0.98	6	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	1.19675
17	13656	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.85	3	1024	768	Windows	Firefox	Deutsch	1	Male	35		Yes	0.8588
17	7739	evidence2	Sie hören einen Hund bellen.	hund	0.75	4	1024	768	Windows	Firefox	Deutsch	1	Male	35		Yes	0.8588
17	7672	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.99	5	1024	768	Windows	Firefox	Deutsch	1	Male	35		Yes	0.8588
17	6500	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist.	kaffee	0.99	6	1024	768	Windows	Firefox	Deutsch	1	Male	35		Yes	0.8588
18	14288	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt.	abendessen	0.91	3	1280	1024	Windows	Chrome	deutsch	2	Male	46		Yes	1.09675
18	11663	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt.	hund	0.94	4	1280	1024	Windows	Chrome	deutsch	2	Male	46		Yes	1.09675
18	8527	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt.	kaffee	0.96	5	1280	1024	Windows	Chrome	deutsch	2	Male	46		Yes	1.09675
18	9158	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.95	6	1280	1024	Windows	Chrome	deutsch	2	Male	46		Yes	1.09675
19	26267	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.97	3	1536	864	Windows	Firefox	Deutsch	1	Male	60		Yes	1.35996666667
19	9571	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist.	kaffee	0.97	4	1536	864	Windows	Firefox	Deutsch	1	Male	60		Yes	1.35996666667
19	7408	evidence1	Sie sehen aus dem Fenster und beobachten, wie Regentropfen vom Himmel fallen.	regen	0.98	5	1536	864	Windows	Firefox	Deutsch	1	Male	60		Yes	1.35996666667
19	6753	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben.	hund	0.56	6	1536	864	Windows	Firefox	Deutsch	1	Male	60		Yes	1.35996666667
20	15590	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.91	3	1438	808	Windows	Mozilla	Deutsch	2	Female	71		Yes	1.93108333333
20	10605	evidence5	Sie haben Hunger.	abendessen	0.44	4	1438	808	Windows	Mozilla	Deutsch	2	Female	71		Yes	1.93108333333
20	7994	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.66	5	1438	808	Windows	Mozilla	Deutsch	2	Female	71		Yes	1.93108333333
20	12115	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.64	6	1438	808	Windows	Mozilla	Deutsch	2	Female	71		Yes	1.93108333333
21	19233	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.74	3	1920	1080	Windows	Mozilla	Deutsch	2	Male	32		Yes	1.42813333333
